Input_SMILES,Predicted_SMILES,Tanimoto_Score,Input_Complexity,Pred_Complexity,Complexity_Ratio
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(C)C(=O)c1ccc(C)cc1,0.186,23.0,20.5,0.8913043478260869
NC(=O)Nc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.1667,17.0,16.0,0.9411764705882353
NNC(=O)c1ccc2c(c1)OCO2,CC(=O)c1ccc(C)cc1,0.2162,21.0,16.0,0.7619047619047619
O=C1CCC(=O)N1c1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.1622,22.0,17.0,0.7727272727272727
COC(=O)Nc1cccc(Cl)c1,CC(=O)c1ccc(C)cc1,0.1892,18.0,16.0,0.8888888888888888
Nc1nc(=O)n(C2CCC(CO)O2)cc1I,CC(O)c1ccc(C(C)C)cc1,0.0577,25.5,19.5,0.7647058823529411
CN(C)C(=O)C12CC3CC(CC(C3)C1)C2,CC(C)C(=O)c1ccc(C(=C)C)cc1,0.1026,24.5,23.0,0.9387755102040817
CC(=O)NNC(=O)Nc1ccc(Cl)cc1,CC(O)C(=O)c1ccc(Cl)cc1,0.3333,21.0,19.5,0.9285714285714286
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
CC(=O)Nc1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,0.1489,25.5,19.5,0.7647058823529411
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,0.186,24.5,19.5,0.7959183673469388
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(C)C(O)N)cc1,0.1951,26.5,23.0,0.8679245283018868
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CC(=O)c1ccc(OCC(=O)O)cc1,CC(O)c1ccc(NC(=O)N)cc1,0.1628,24.5,20.5,0.8367346938775511
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,0.2308,23.0,20.5,0.8913043478260869
CC(=O)Oc1c(Cl)cccc1Cl,CC(O)c1ccc(C)cc1,0.1471,18.0,16.0,0.8888888888888888
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,0.1842,19.0,19.5,1.0263157894736843
CNC(=O)Oc1ccc(C)cc1,CC(=O)c1ccc(cc1)C,0.3793,18.0,16.0,0.8888888888888888
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,0.186,24.5,19.5,0.7959183673469388
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(=C)C(O)N)cc1,0.1778,26.5,23.0,0.8679245283018868
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
NC(=O)Nc1cccc(OCC(=O)O)c1,CC(=O)c1ccc(C(=O)N)cc1,0.1905,25.5,19.5,0.7647058823529411
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,0.1842,19.0,19.5,1.0263157894736843
O=C1CCC(=O)N1c1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.25,22.0,17.0,0.7727272727272727
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,0.1136,24.5,18.5,0.7551020408163265
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(Cl)cc1,0.1778,24.0,19.5,0.8125
CC(=O)c1ccc(C)cc1,CC(O)c1ccc(cc1)C,0.36,16.0,16.0,1.0
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,0.2308,23.0,20.5,0.8913043478260869
CC(=O)Nc1ccc(C)cc1,CC(O)c1ccc(cc1)C,0.3214,17.0,16.0,0.9411764705882353
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,0.3103,21.5,19.5,0.9069767441860465
CCCOC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Cl)cc1,0.2571,22.0,16.0,0.7272727272727273
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,0.1818,21.5,19.5,0.9069767441860465
COC(=O)NC1=NCC(c2ccc(C=O)cc2)N1C,CC(=O)c1ccc(C(C(Cl)O)C)cc1,0.1207,28.5,23.0,0.8070175438596491
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
CC(=O)NNC(=O)Nc1ccc(I)cc1,CC(O)C(=O)c1ccc(Cl)cc1,0.1707,21.0,19.5,0.9285714285714286
CON(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,0.1667,21.5,19.5,0.9069767441860465
NNC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)c1ccc(C(=O)N)cc1,0.2727,21.5,19.5,0.9069767441860465
NNC(=O)c1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.2,17.0,16.0,0.9411764705882353
CNC(=O)Oc1ccc(I)cc1,CC(=O)c1ccc(Cl)cc1,0.2,18.0,16.0,0.8888888888888888
COC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Cl)cc1,0.3,17.0,16.0,0.9411764705882353
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
COC(=O)c1cnc(Cl)cn1,CC(=O)c1ccc(C)cc1,0.1667,17.0,16.0,0.9411764705882353
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,0.1591,21.0,19.5,0.9285714285714286
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(=O)N)cc1,0.1429,26.5,19.5,0.7358490566037735
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CN(C)C(=O)Nc1cccc(O)c1,CC(C)C(=O)N(cc1)cc1,0.1538,19.0,16.0,0.8421052631578947
NC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(=O)C(=O)c1ccc(C)cc1,0.1463,24.0,19.5,0.8125
NNC(=O)c1ccc(I)cc1,CC(=O)c1ccc(NC)cc1,0.2812,17.0,18.5,1.088235294117647
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,0.2308,23.0,20.5,0.8913043478260869
COC(=O)c1ccc(C)cc1,CC(=O)c1ccc(cc1)C,0.5417,17.0,16.0,0.9411764705882353
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,0.1818,21.5,19.5,0.9069767441860465
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,0.3103,21.5,19.5,0.9069767441860465
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
CC(C)c1ccc(N)cc1,CC(C)C(cc1)cc1,0.1667,16.0,11.5,0.71875
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(O)cc1,0.1892,19.0,19.5,1.0263157894736843
O=C(O)c1ccc(I)cc1,CC=C(C)C(cc1)cc1,0.0645,16.0,12.5,0.78125
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
CC(=O)Nc1ccc(C)c(C)c1,CC(O)c1ccc(cc1)C(C)C,0.1471,18.0,19.5,1.0833333333333333
CCS(=O)c1sc(Cl)cc1C#N,CC(=O)c1ccc(C)cc1N,0.1042,19.5,17.0,0.8717948717948718
CC(=O)c1cccc(C)c1,CC(O)c1ccc(cc1)C,0.2258,16.0,16.0,1.0
CC(=O)Nc1cccc(NC(C)=O)c1,CC(O)c1ccc(C(=C)O)cc1,0.1389,21.5,19.5,0.9069767441860465
COC(=O)c1cccc(O)c1,CC(=O)c1ccc(C)cc1,0.2424,17.0,16.0,0.9411764705882353
CC(=O)Nc1cccc(Cl)c1Cl,CC(O)c1ccc(C)cc1,0.1351,18.0,16.0,0.8888888888888888
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.1892,19.0,19.5,1.0263157894736843
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
CC(=O)Nc1cccc(OC(C)=O)c1,CC(O)c1ccc(C(=C)O)cc1,0.1136,21.5,19.5,0.9069767441860465
COC(=O)c1c(F)cccc1F,CC(=O)c1ccc(C)cc1,0.2188,18.0,16.0,0.8888888888888888
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,0.3103,21.5,19.5,0.9069767441860465
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(O)C(=O)c1ccc(Cl)cc1,0.1818,23.0,20.5,0.8913043478260869
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,0.1818,21.5,19.5,0.9069767441860465
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.0732,22.0,17.0,0.7727272727272727
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.1842,18.0,16.0,0.8888888888888888
COC(=O)c1cccc(C)c1,CC(=O)c1ccc(cc1)C,0.3226,17.0,16.0,0.9411764705882353
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,0.1778,25.0,21.5,0.86
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(O)C(=O)c1ccc(C)cc1,0.1951,24.0,19.5,0.8125
CNC(=O)Oc1ccc(C)cc1,CC(=O)c1ccc(cc1)C,0.3793,18.0,16.0,0.8888888888888888
OC(=O)c1ccc(cc1)N2C(=O)CCC2=O,CC(=O)c1ccc(cc1)C(=O)NO,0.2222,25.5,20.5,0.803921568627451
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.2143,21.5,19.5,0.9069767441860465
CCNC(=O)c1cccc(C)c1,CC(=O)c1ccc(cc1)C,0.2941,19.5,16.0,0.8205128205128205
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(NC(C)C(O)N)cc1,0.1778,26.5,25.5,0.9622641509433962
COC(=O)c1ccc(OC)cc1,CC(=O)c1ccc(cc1)C,0.3103,19.5,16.0,0.8205128205128205
COC(=O)c1cnc(Cl)cn1,CC(=O)c1ccc(C)cc1,0.1667,17.0,16.0,0.9411764705882353
CCOC(=O)c1ccc(Cl)nn1,CC(=O)c1ccc(Cl)cc1,0.2432,19.5,16.0,0.8205128205128205
COC(=O)c1cccc(NC(C)=O)c1,CC(=O)c1ccc(NC(=C)O)cc1,0.3,21.5,22.0,1.0232558139534884
COC(=O)CNC(=O)c1ccc(N)cc1,CC(=O)C(=O)c1ccc(cc1)C,0.2368,24.0,19.5,0.8125
O=C(O)Cc1cccc(Br)c1,CC=C(C)c1ccc(Cl)cc1,0.1026,18.5,17.0,0.918918918918919
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
COC(=O)c1ccc(C)cc1,CC(=O)c1ccc(cc1)C,0.5417,17.0,16.0,0.9411764705882353
NNC(=O)c1ccc(I)cc1,CC(=O)c1ccc(Cl)cc1,0.2581,17.0,16.0,0.9411764705882353
CON(C)C(=O)Nc1cccc(CO)c1,CC(C)C(=O)c1ccc(cc1)C,0.1489,24.0,19.5,0.8125
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
O=C(O)Cc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
CCC(C)NC(=O)C=C(C)c1ccc(Cl)cc1,CC(=C)C(=O)C(=C\C)C(cc1)cc1,0.1373,27.5,19.5,0.7090909090909091
NNC(=O)Nc1cccc(C(=O)O)c1,CC(=O)c1ccc(C(O)N)cc1,0.1905,21.5,19.5,0.9069767441860465
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
NC(=S)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,0.0645,16.0,11.5,0.71875
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,0.186,24.5,19.5,0.7959183673469388
CC(=O)NNC(=O)Nc1ccc(C)cc1,CC(O)C(=O)c1ccc(cc1)C,0.3143,21.0,19.5,0.9285714285714286
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(C)C(O)N)cc1,0.1951,26.5,23.0,0.8679245283018868
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,0.1591,21.0,19.5,0.9285714285714286
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(=O)N)cc1,0.1429,26.5,19.5,0.7358490566037735
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,0.1842,19.0,19.5,1.0263157894736843
COC(=O)c1ccc(NC(C)=O)cc1,CC(=O)c1ccc(NC(=C)O)cc1,0.4545,21.5,22.0,1.0232558139534884
O=C(O)COc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(cc1)C,0.1818,24.0,19.5,0.8125
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.0732,22.0,17.0,0.7727272727272727
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,0.3103,21.5,19.5,0.9069767441860465
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(NC(=C)O)cc1,0.2571,21.5,22.0,1.0232558139534884
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
NC(=O)c1cccc(Cl)c1,CC(=O)C(cc1)cc1,0.1212,16.0,11.5,0.71875
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)C(C)C(O)c1ccc(C)cc1,0.14,23.0,23.0,1.0
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.1842,18.0,16.0,0.8888888888888888
O=C(O)c1ccc(CCl)cc1,CC=C(O)c1ccc(Cl)cc1,0.2581,18.5,17.0,0.918918918918919
CN(C)C(=O)Oc1ccc(Cl)cc1,CC(C)C(O)c1ccc(C)cc1,0.1316,19.0,19.5,1.0263157894736843
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
CN(C)C(=O)OCc1ccc(C(N)=O)cc1,CC(C)C(O)c1ccc(C(C)O)cc1,0.119,25.0,23.0,0.92
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
CC(=O)c1cccc(Br)c1,CC(O)c1ccc(C)cc1,0.1471,16.0,16.0,1.0
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(O)C(=O)c1ccc(C)cc1,0.1951,24.0,19.5,0.8125
COC(=O)c1ccc(Br)o1,CC(=O)c1ccc(Cl)cc1,0.2,16.0,16.0,1.0
CC(=O)OCOC(=O)N(C)N=Nc1ccc(C#N)cc1,CC(O)C(O)c1ccc(C)C(C(Cl)N)cc1,0.0597,30.5,22.5,0.7377049180327869
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
CC(=O)N(C)c1ccc(O)cc1,CC(O)C(C)C(cc1)cc1,0.0857,18.0,15.0,0.8333333333333334
COc1ccccc1NC(=O)C(Cl)Cl,CCC(=O)c1ccc(C)cc1,0.1667,23.0,18.5,0.8043478260869565
CCNC(=O)c1ccc(OC)cc1,CC(=O)c1ccc(cc1)C,0.2647,22.0,16.0,0.7272727272727273
CN(C)C(=O)Oc1cccc(F)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
NC(=O)c1ccc(Br)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
CN(C)C(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
CC(=O)NNC(=O)Nc1cccc(Br)c1,CC(O)C(=O)c1ccc(Cl)cc1,0.1556,21.0,19.5,0.9285714285714286
O=C(O)COc1ccc(Cl)cc1Cl,CC=C(O)c1ccc(Cl)cc1,0.2432,22.0,17.0,0.7727272727272727
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.0732,22.0,17.0,0.7727272727272727
COC(=O)c1cncc(Cl)n1,CC(=O)c1ccc(C)cc1,0.1622,17.0,16.0,0.9411764705882353
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
COC(=O)Nc1cccc(C(F)(F)F)c1,CC(=O)c1ccc(C(C)(F)F)cc1,0.2683,21.0,20.5,0.9761904761904762
CON(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,0.122,21.5,16.0,0.7441860465116279
NC(=O)c1ccc(I)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.2143,21.5,19.5,0.9069767441860465
CN(C)C(=O)OCc1ccc(OC(=O)N(C)C)cc1,CC(C)C(=O)c1ccc(C(=O)N(C)C)cc1,0.2439,28.0,25.0,0.8928571428571429
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
O=C1CCC(=O)N1c1cccc(Cl)c1Cl,CC=C(O)c1ccc(Cl)cc1,0.1282,23.0,17.0,0.7391304347826086
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,0.1591,21.0,19.5,0.9285714285714286
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,0.1136,24.5,18.5,0.7551020408163265
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
O=C(O)Cc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
O=C(O)COc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
CC(=O)NNC(=O)Nc1cccc(Br)c1,CC(O)C(=O)c1ccc(C)cc1,0.1591,21.0,19.5,0.9285714285714286
CC(=O)Nc1ccc(cc1)N(=O)=O,CC(O)c1ccc(cc1)C(O)O,0.1389,20.5,19.5,0.9512195121951219
CC(=O)Oc1cccc(C(=O)O)c1,CC(O)c1ccc(C(O)N)cc1,0.1282,20.5,19.5,0.9512195121951219
CON(C)C(=O)Nc1cccc(CO)c1,CC(C)C(=O)c1ccc(cc1)C,0.1489,24.0,19.5,0.8125
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)N(cc1)cc1,0.15,19.0,16.0,0.8421052631578947
NC(=O)c1cccc(Cl)c1,CC(=O)C(cc1)cc1,0.1212,16.0,11.5,0.71875
O=C(O)Cc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)C(C)C(O)c1ccc(Cl)cc1,0.16,23.0,23.0,1.0
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,0.3103,21.5,19.5,0.9069767441860465
O=C(O)c1ccc(CCl)cc1,CC=C(O)c1ccc(Cl)cc1,0.2581,18.5,17.0,0.918918918918919
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.1842,18.0,16.0,0.8888888888888888
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
O=C(O)c1cc(Cl)ccc1Cl,CC=C(O)c1ccc(Cl)cc1,0.2903,17.0,17.0,1.0
NC(=O)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)O)cc1,0.2195,24.5,19.5,0.7959183673469388
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CC(=O)N(C)c1ccc(O)cc1,CC(O)C(C)C(cc1)cc1,0.0857,18.0,15.0,0.8333333333333334
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.0811,22.0,17.0,0.7727272727272727
O=C(O)Cc1cc(O)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1351,19.5,17.0,0.8717948717948718
CC(=O)Nc1ccc(Br)cc1,CC(O)N(cc1)cc1,0.0909,17.0,14.0,0.8235294117647058
NC(=O)c1ccc(Br)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)Cc1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.2286,18.5,17.0,0.918918918918919
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,0.1591,21.0,19.5,0.9285714285714286
NC(=O)c1ccc(F)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)COc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
CN(C)C(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,0.1707,19.0,19.5,1.0263157894736843
