Input_SMILES,Predicted_SMILES,Tanimoto_Score,Input_Complexity,Pred_Complexity,Complexity_Ratio
CCN1C(=O)C(=O)c2c(OC)cccc2C1=O,CC(=O)C(O)c1ccc(C)cc1C,0.0962,26.5,20.5,0.7735849056603774
NC(=O)Nc1cccc(Br)c1,CC(=O)N(cc1)cc1,0.1429,17.0,12.5,0.7352941176470589
CC(C)OC(=O)c1ccc(O)cc1,CC(C)C(=O)C(cc1)cc1,0.2059,20.5,15.0,0.7317073170731707
CCN1C(=O)C(=O)c2c(Cl)cccc2C1=O,CC(=O)C(O)c1ccc(O)cc1O,0.1,24.0,20.5,0.8541666666666666
CN(C)c1ccc(Cl)nn1,CC(C)C(cc1)cc1,0.0645,16.0,11.5,0.71875
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(O)cc1,0.1351,18.5,17.0,0.918918918918919
CN(C)C(=O)Nc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
CC(=O)C=Cc1cccc(C#N)c1,CC(O)c1ccc(C(O)N)cc1,0.1163,20.5,19.5,0.9512195121951219
O=C(O)c1cc(Cl)ccc1Cl,CC=C(O)c1ccc(Cl)cc1,0.2903,17.0,17.0,1.0
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)C(cc1)cc1,0.1351,19.0,15.0,0.7894736842105263
COC(=O)\C=C\c1ccc(O)cc1,CC(=O)C=C\C(cc1)cc1,0.1842,20.5,15.0,0.7317073170731707
O=C(O)COc1ccc(F)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(O)N)cc1,0.1064,26.5,19.5,0.7358490566037735
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
CC(=O)NNC(=O)Nc1ccc(I)cc1,CC(O)C(=O)C(cc1)cc1,0.125,21.0,15.0,0.7142857142857143
O=C(O)c1cc(Cl)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.2812,17.0,17.0,1.0
CN(C)C(=O)Nc1cccc(N)c1,CC(C)C(=O)N(cc1)cc1,0.15,19.0,16.0,0.8421052631578947
O=C(O)COc1ccc(Cl)cc1Cl,CC=C(O)c1ccc(Cl)cc1,0.2432,22.0,17.0,0.7727272727272727
CC(=O)Oc1cccc(Cl)c1,CC(O)c1ccc(C)cc1,0.1351,17.0,16.0,0.9411764705882353
O=C(O)c1cccc(O)c1O,CC=C(O)c1ccc(Cl)cc1,0.1471,17.0,17.0,1.0
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,0.1136,24.5,18.5,0.7551020408163265
NC(=O)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)COc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
CC(=O)NNC(=O)Nc1ccc(Cl)cc1,CC(O)C(=O)C(cc1)cc1,0.125,21.0,15.0,0.7142857142857143
O=C(O)c1c(F)cccc1F,CC=C(O)c1ccc(Cl)cc1,0.1562,17.0,17.0,1.0
O=C(O)COc1ccc(O)cc1,CC=C(O)c1ccc(Cl)cc1,0.1389,21.0,17.0,0.8095238095238095
CC(=O)c1ccc(Cl)cc1O,CC(O)N(cc1)cc1,0.0857,17.0,14.0,0.8235294117647058
NC(=O)c1cccc(Cl)c1,CC(=O)C(cc1)cc1,0.1212,16.0,11.5,0.71875
N=C(N)NC(=O)Nc1ccc(Cl)cc1,CC=C(C)C(=O)C(cc1)cc1,0.093,20.0,16.0,0.8
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(O)N(cc1)cc1,0.1429,21.5,17.5,0.813953488372093
O=C(O)c1c(F)cccc1Cl,CC=C(O)c1ccc(O)cc1,0.1389,17.0,17.0,1.0
CC(=O)Nc1ccc(Cl)cc1,CC(O)N(cc1)cc1,0.0909,17.0,14.0,0.8235294117647058
CC(=O)Nc1c(Br)cccc1Br,CC(O)c1ccc(C)cc1C,0.1316,18.0,17.0,0.9444444444444444
O=C(NO)Nc1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.2812,18.0,17.0,0.9444444444444444
O=C(O)c1cc(I)ccc1O,CC=C(O)c1ccc(O)cc1,0.1765,17.0,17.0,1.0
CC(=O)c1ccc(N)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)N(cc1)cc1,0.15,19.0,16.0,0.8421052631578947
CC(=O)Nc1ccc(Cl)cc1F,CC(O)N(cc1)cc1,0.0769,18.0,14.0,0.7777777777777778
O=C(O)COc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
O=C(O)c1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,0.2903,16.0,17.0,1.0625
NC(=O)c1ccc(Br)cc1,CC(=O)C(cc1)cc1,0.1379,16.0,11.5,0.71875
O=C(O)COc1cccc(I)c1,CC=C(O)c1ccc(O)cc1,0.125,21.0,17.0,0.8095238095238095
NC(=N)Nc1ccc(cc1)C(=O)O,CC(=O)c1ccc(cc1)C(=O)N,0.3125,20.5,19.5,0.9512195121951219
CC(C)c1ccc(N)cc1,CC(C)C(cc1)cc1,0.1667,16.0,11.5,0.71875
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(O)cc1,0.1515,18.5,17.0,0.918918918918919
CC(=O)Nc1cccc(Cl)c1F,CC(O)N(cc1)cc1,0.1053,18.0,14.0,0.7777777777777778
O=C(O)Cc1ccc(O)cc1,CC=C(O)c1ccc(Cl)cc1,0.1515,18.5,17.0,0.918918918918919
O=C(O)COc1cccc(O)c1,CC=C(O)c1ccc(Cl)cc1,0.125,21.0,17.0,0.8095238095238095
CN(C)C(=O)Oc1ccc(Cl)cc1,CC(C)C(=O)C(cc1)cc1,0.1351,19.0,15.0,0.7894736842105263
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
CC(=O)Nc1c(Cl)cccc1Cl,CC(O)c1ccc(C)cc1,0.1471,18.0,16.0,0.8888888888888888
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
OC(=O)\C=C\c1ccc(O)cc1,CC(=O)C=C\C(cc1)cc1,0.1714,19.5,15.0,0.7692307692307693
O=C(O)c1nc(Cl)ccc1Cl,CC=C(O)c1ccc(O)cc1,0.1471,17.0,17.0,1.0
CC(=O)c1ccc(F)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
COC(=O)c1ccc(Br)o1,CC(=O)C(cc1)cc1,0.1471,16.0,11.5,0.71875
NC(=S)c1ccc(Cl)cc1,CC(=O)N(cc1)cc1,0.0645,16.0,12.5,0.78125
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
O=N(=O)c1ccc(cc1)N(=O)=O,CC=C(O)c1ccc(cc1)S(O)O,0.0968,19.5,20.5,1.0512820512820513
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
CON(C)C(=O)Nc1ccc(N)cc1,CC(C)C(=O)NC(cc1)cc1,0.1395,21.5,16.0,0.7441860465116279
O=C(O)Cc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,0.1471,18.5,17.0,0.918918918918919
O=C(O)c1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.5,16.0,17.0,1.0625
O=C(O)Cc1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.3448,18.5,17.0,0.918918918918919
OC(=O)c1ccc(cc1)N2C(=O)CCC2=O,CC(O)c1ccc(cc1)C(=O)NO,0.2,25.5,20.5,0.803921568627451
NC(=O)c1c(Cl)cccc1Br,CC(=O)c1ccc(C)cc1,0.1714,17.0,16.0,0.9411764705882353
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CN(C)C(=O)Oc1ccc(F)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
CC(C)OC(=O)c1ccc(O)cc1,CC(C)C(=O)C(cc1)cc1,0.2059,20.5,15.0,0.7317073170731707
NC(=O)c1cncc(Cl)n1,CC(=O)c1ccc(C)cc1,0.1429,16.0,16.0,1.0
CC(=O)NNC(=O)Nc1cccc(Cl)c1,CC(O)C(=O)C(cc1)cc1,0.1136,21.0,15.0,0.7142857142857143
O=C(O)c1cccc(F)c1F,CC=C(O)c1ccc(O)cc1,0.1471,17.0,17.0,1.0
NC(=O)c1cccc(O)c1,CC(=O)C(cc1)cc1,0.125,16.0,11.5,0.71875
O=C(O)c1ccc(F)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,0.175,21.5,19.5,0.9069767441860465
O=C1CC(=O)c2ccccc21,CC=C(O)c1ccccc1,0.1923,17.5,16.0,0.9142857142857143
CN(C)C(=O)Nc1ccc(F)cc1,CC(C)C(O)N(cc1)cc1,0.0789,19.0,17.5,0.9210526315789473
CC(C)OC(=O)c1ccc(O)cc1O,CC(C)C(=O)N(cc1)cc1,0.1842,21.5,16.0,0.7441860465116279
O=C(O)c1cccc(O)c1,CC=C(O)c1ccc(O)cc1,0.2667,16.0,17.0,1.0625
CC(=O)Nc1ccc(F)cc1F,CC(O)N(cc1)cc1,0.0811,18.0,14.0,0.7777777777777778
CON(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,0.122,21.5,16.0,0.7441860465116279
CN(C)c1ccc(Cl)nn1,CC(C)C(cc1)cc1,0.0645,16.0,11.5,0.71875
CC(C)c1ccc(O)cc1,CC(C)C(cc1)cc1,0.16,16.0,11.5,0.71875
CON(C)C(=O)Nc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.122,21.5,16.0,0.7441860465116279
CN(C)C(=O)Nc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
O=C(O)COc1cccc(F)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)C(cc1)cc1,0.1351,19.0,15.0,0.7894736842105263
NC(=O)c1cccc(F)c1,CC(=O)c1ccc(C)cc1,0.2188,16.0,16.0,1.0
NC(=O)c1c(Br)cccc1Br,CC(=O)c1ccc(C)cc1C,0.1765,17.0,17.0,1.0
O=C(O)Cc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.1316,18.5,17.0,0.918918918918919
CC(=O)Nc1cccc(Cl)c1,CC(O)c1ccc(C)cc1,0.1351,17.0,16.0,0.9411764705882353
CC(=O)NNC(=O)Nc1ccc(Cl)cc1,CC(O)C(=O)C(cc1)cc1,0.125,21.0,15.0,0.7142857142857143
O=C(O)c1cc(Cl)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.2812,17.0,17.0,1.0
O=C(O)c1cccc(F)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
NC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N,CC(=O)c1ccc(cc1)C(Cl)S(=O)(=O)N,0.3077,32.5,24.0,0.7384615384615385
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,0.1765,16.0,17.0,1.0625
CC(=O)Oc1cccc(Cl)c1,CC(O)c1ccc(C)cc1,0.1351,17.0,16.0,0.9411764705882353
O=C(O)COc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,0.122,21.0,17.0,0.8095238095238095
CON(C)C(=O)Nc1cccc(F)c1,CC(C)C(=O)N(cc1)cc1,0.1364,21.5,16.0,0.7441860465116279
CC(=O)c1ccc(O)cc1,CC(O)N(cc1)cc1,0.1034,16.0,14.0,0.875
NC(=O)Nc1cccc(F)c1,CC(=O)c1ccc(C)cc1,0.1667,17.0,16.0,0.9411764705882353
O=C(O)c1c(F)cccc1F,CC=C(O)c1ccc(Cl)cc1F,0.2286,17.0,18.0,1.0588235294117647
NC(=O)c1cccc(Cl)c1,CC(=O)c1ccc(C)cc1,0.2188,16.0,16.0,1.0
OC(=O)c1cccc(O)c1,CC(=O)C(cc1)cc1,0.129,16.0,11.5,0.71875
NC(=O)c1ccc(O)cc1,CC(=O)C(cc1)cc1,0.1429,16.0,11.5,0.71875
O=C(O)c1cc(I)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
CC(=O)c1ccc(N)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
O=C(O)c1cccc(Cl)c1,CC=C(O)c1ccc(O)cc1,0.1818,16.0,17.0,1.0625
CC(=O)Nc1ccc(Cl)cc1F,CC(O)N(cc1)cc1,0.0769,18.0,14.0,0.7777777777777778
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(=O)N(cc1)cc1,0.1951,21.5,16.0,0.7441860465116279
CNC(=O)Oc1cccc(Cl)c1Cl,CC(=O)c1ccc(C)cc1,0.1842,19.0,16.0,0.8421052631578947
N=C(N)c1ccc(N)cc1,CC=C(O)C(cc1)cc1,0.1,16.0,12.5,0.78125
O=C(NCCO)c1cccnc1,CC=C(O)c1ccccc1,0.1842,21.0,16.0,0.7619047619047619
CC(=O)Nc1cccc(O)c1,CC(O)c1ccc(C)cc1,0.1389,17.0,16.0,0.9411764705882353
CC(C)c1ccc(N)cc1,CC(C)C(cc1)cc1,0.1667,16.0,11.5,0.71875
NC(=O)c1ccc(Cl)nn1,CC(=O)C(cc1)cc1,0.1212,16.0,11.5,0.71875
O=C(O)c1ccc(O)cc1,CC=C(O)c1ccc(Cl)cc1,0.25,16.0,17.0,1.0625
O=C(O)COc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
CNC(=O)Oc1cccc(C)c1C,CC(=O)c1ccc(C)cc1,0.2222,19.0,16.0,0.8421052631578947
CNC(=O)Oc1cccc(OC)c1,CC(=O)c1ccc(C)cc1,0.1892,20.5,16.0,0.7804878048780488
O=C(Oc1ccccc1)N1CCCC1,CC=C(O)c1ccccc1,0.2424,22.0,16.0,0.7272727272727273
CN(C)C(=O)Oc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,0.1389,17.0,17.0,1.0
CC(=O)NNC(=O)Nc1ccc(Br)cc1,CC(O)C(=O)C(cc1)cc1,0.125,21.0,15.0,0.7142857142857143
O=NN(CCCl)C(=O)NC1CCCCC1,CC=C(O)C(=O)c1ccccc1,0.0638,23.0,19.5,0.8478260869565217
NC(=S)c1ccc(Cl)cc1,CC(=O)N(cc1)cc1,0.0645,16.0,12.5,0.78125
OC(=O)\C=C\c1ccc(O)cc1,CC(=O)C=C\C(cc1)cc1,0.1714,19.5,15.0,0.7692307692307693
O=N(=O)c1ccc(cc1)N(=O)=O,CC=C(O)c1ccc(cc1)S(O)O,0.0968,19.5,20.5,1.0512820512820513
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
O=C(O)Cc1ccc(Cl)cc1,CC=C(O)c1ccc(Cl)cc1,0.3448,18.5,17.0,0.918918918918919
CC(=O)c1cccc(Br)c1,CC(O)C(cc1)cc1,0.0882,16.0,11.5,0.71875
CN(C)C(=O)Nc1cccc(F)c1,CC(C)C(=O)N(cc1)cc1,0.15,19.0,16.0,0.8421052631578947
CON(C)C(=O)Nc1ccc(N)cc1,CC(C)C(O)N(cc1)cc1,0.0714,21.5,17.5,0.813953488372093
NC(=O)c1cccc(N)c1,CC(=O)c1ccc(C)cc1,0.2258,16.0,16.0,1.0
OC(=O)c1ccc(cc1)N2C(=O)CCC2=O,CC(=O)c1ccc(cc1)S(=O)NO,0.2051,25.5,22.0,0.8627450980392157
CC(=O)NNC(=O)Nc1ccc(F)cc1,CC(O)C(=O)C(cc1)cc1,0.125,21.0,15.0,0.7142857142857143
CC(C)OC(=O)c1ccc(O)cc1,CC(C)C(=O)N(cc1)cc1,0.2059,20.5,16.0,0.7804878048780488
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,0.2414,16.0,17.0,1.0625
CN(C)C(=O)Nc1cccc(Cl)c1,CC(C)C(=O)N(cc1)cc1,0.15,19.0,16.0,0.8421052631578947
NC(=O)c1cncc(Cl)n1,CC(=O)c1ccc(C)cc1,0.1429,16.0,16.0,1.0
Cc1ccc(N)c(C)c1,CC(cc1)c(C)c1C,0.1379,13.5,10.0,0.7407407407407407
CC(=O)OCc1ccc(Cl)cc1,CC(O)c1ccc(C)cc1,0.1389,19.5,16.0,0.8205128205128205
CN(C)c1ccc(Cl)nn1,CC(C)C(cc1)cc1,0.0645,16.0,11.5,0.71875
NC(=O)c1cccc(O)c1,CC(=O)c1ccc(C)cc1,0.2258,16.0,16.0,1.0
CN(C)C(=O)Nc1ccc(F)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
NC(=O)Nc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,0.1667,17.0,16.0,0.9411764705882353
O=C(O)c1cccc(O)c1,CC=C(O)c1ccc(O)cc1,0.2667,16.0,17.0,1.0625
O=C(O)Cc1ccccc1O,CC=C(O)c1ccccc1,0.2414,18.5,16.0,0.8648648648648649
CN(C)C(=O)Nc1ccc(Cl)cc1,CC(C)C(=O)N(cc1)cc1,0.1351,19.0,16.0,0.8421052631578947
CC(C)c1ccc(O)cc1,CC(C)C(cc1)cc1,0.16,16.0,11.5,0.71875
O=C(O)COc1ccc(F)cc1,CC=C(O)c1ccc(Cl)cc1,0.1351,21.0,17.0,0.8095238095238095
NC(=O)Nc1cccc(C(F)(F)F)c1,CC(=O)c1ccc(C(F)(F)F)cc1,0.3243,20.0,19.0,0.95
COC(=O)\C=C\c1ccc(O)cc1,CC(=O)C=C\C(cc1)cc1,0.1842,20.5,15.0,0.7317073170731707
C[Si](C)(C)c1ccc(O)cc1,CC[C](C)(C)C(cc1)cc1,0.0645,17.0,15.0,0.8823529411764706
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,0.1,16.0,11.5,0.71875
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(O)O)cc1,0.1111,26.5,19.5,0.7358490566037735
