Input_SMILES,Predicted_SMILES,Input_Groups,Predicted_Groups
CC(=O)c1ccc(C)cc1,CC(O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
CC(=O)Nc1ccc(C)cc1,CC(O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
CCCOC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Cl)cc1,"Nc,c1ccccc1",c1ccccc1
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)NC1=NCC(c2ccc(C=O)cc2)N1C,CC(=O)c1ccc(C(C(Cl)O)C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)NNC(=O)Nc1ccc(I)cc1,CC(O)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CON(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
NNC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)c1ccc(C(=O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
NNC(=O)c1cccc(Br)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1ccc(I)cc1,CC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)c1ccc(N)cc1,CC(=O)c1ccc(Cl)cc1,"Nc,c1ccccc1",c1ccccc1
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)c1cnc(Cl)cn1,CC(=O)c1ccc(C)cc1,No group,c1ccccc1
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(=O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Nc1cccc(O)c1,CC(C)C(=O)N(cc1)cc1,"NC,c1ccccc1",No group
NC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(=O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
NNC(=O)c1ccc(I)cc1,CC(=O)c1ccc(NC)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)CNC(=O)c1ccc(I)cc1,CC=C(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
COC(=O)c1ccc(C)cc1,CC(=O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(C)c1ccc(N)cc1,CC(C)C(cc1)cc1,"Nc,c1ccccc1",C=C
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)c1ccc(O)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)c1ccc(I)cc1,CC=C(C)C(cc1)cc1,c1ccccc1,C=C
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)Nc1ccc(C)c(C)c1,CC(O)c1ccc(cc1)C(C)C,"NC,c1ccccc1",c1ccccc1
CCS(=O)c1sc(Cl)cc1C#N,CC(=O)c1ccc(C)cc1N,CCS,"Nc,c1ccccc1"
CC(=O)c1cccc(C)c1,CC(O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
CC(=O)Nc1cccc(NC(C)=O)c1,CC(O)c1ccc(C(=C)O)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)c1cccc(O)c1,CC(=O)c1ccc(C)cc1,c1ccccc1,c1ccccc1
CC(=O)Nc1cccc(Cl)c1Cl,CC(O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)OCc1ccc(Br)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Nc1cccc(OC(C)=O)c1,CC(O)c1ccc(C(=C)O)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)c1c(F)cccc1F,CC(=O)c1ccc(C)cc1,c1ccccc1,c1ccccc1
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)CNC(=O)c1cccc(I)c1,CC=C(O)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,C=C(C=O),c1ccccc1"
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(C(=C)O)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)c1cccc(C)c1,CC(=O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)Oc1ccc(NC(=O)C(Cl)Cl)cc1,CC(O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1ccc(C)cc1,CC(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
OC(=O)c1ccc(cc1)N2C(=O)CCC2=O,CC(=O)c1ccc(cc1)C(=O)NO,"NC,c1ccccc1","NC,c1ccccc1"
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CCNC(=O)c1cccc(C)c1,CC(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,c1ccccc1,C=C
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(NC(C)C(O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
COC(=O)c1ccc(OC)cc1,CC(=O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
COC(=O)c1cnc(Cl)cn1,CC(=O)c1ccc(C)cc1,No group,c1ccccc1
CCOC(=O)c1ccc(Cl)nn1,CC(=O)c1ccc(Cl)cc1,No group,c1ccccc1
COC(=O)c1cccc(NC(C)=O)c1,CC(=O)c1ccc(NC(=C)O)cc1,"NC,c1ccccc1","NC,C=C,c1ccccc1"
COC(=O)CNC(=O)c1ccc(N)cc1,CC(=O)C(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1cccc(Br)c1,CC=C(C)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)c1ccc(C)cc1,CC(=O)c1ccc(cc1)C,c1ccccc1,c1ccccc1
NNC(=O)c1ccc(I)cc1,CC(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CON(C)C(=O)Nc1cccc(CO)c1,CC(C)C(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CCC(C)NC(=O)C=C(C)c1ccc(Cl)cc1,CC(=C)C(=O)C(=C\C)C(cc1)cc1,"NC,C=C,C=C(C=O),c1ccccc1","C=C,C=C(C=O)"
NNC(=O)Nc1cccc(C(=O)O)c1,CC(=O)c1ccc(C(O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
NC(=S)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)N)cc1,c1ccccc1,"NC,c1ccccc1"
CC(=O)NNC(=O)Nc1ccc(C)cc1,CC(O)C(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,CC(O)c1ccc(C(C)C(O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,CC(O)c1ccc(C(=O)N)cc1,"NC,c1ccccc1","NC,c1ccccc1"
CN(C)C(=O)Oc1ccc(Br)cc1,CC(C)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)c1ccc(NC(C)=O)cc1,CC(=O)c1ccc(NC(=C)O)cc1,"NC,c1ccccc1","NC,C=C,c1ccccc1"
O=C(O)COc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
NC(=S)NNC(=O)c1ccc2c(c1)OCO2,CC(=O)C(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
NC(=O)Nc1cccc(NC(N)=O)c1,CC(=O)c1ccc(NC(=C)O)cc1,"NC,c1ccccc1","NC,C=C,c1ccccc1"
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
NC(=O)c1cccc(Cl)c1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)C(C)C(O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)c1ccc(CCl)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CN(C)C(=O)Oc1ccc(Cl)cc1,CC(C)C(O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CN(C)C(=O)OCc1ccc(C(N)=O)cc1,CC(C)C(O)c1ccc(C(C)O)cc1,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,"NC,c1ccccc1",No group
CC(=O)c1cccc(Br)c1,CC(O)c1ccc(C)cc1,c1ccccc1,c1ccccc1
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
COC(=O)c1ccc(Br)o1,CC(=O)c1ccc(Cl)cc1,No group,c1ccccc1
CC(=O)OCOC(=O)N(C)N=Nc1ccc(C#N)cc1,CC(O)C(O)c1ccc(C)C(C(Cl)N)cc1,"NC,c1ccccc1","NC,C=C"
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CC(=O)N(C)c1ccc(O)cc1,CC(O)C(C)C(cc1)cc1,"NC,c1ccccc1",C=C
COc1ccccc1NC(=O)C(Cl)Cl,CCC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CCNC(=O)c1ccc(OC)cc1,CC(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Oc1cccc(F)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)c1ccc(Br)cc1,CC(O)C(cc1)cc1,c1ccccc1,C=C
NC(=O)c1ccc(Br)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
CN(C)C(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)NNC(=O)Nc1cccc(Br)c1,CC(O)C(=O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)COc1ccc(Cl)cc1Cl,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C1CCC(=O)N1c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
COC(=O)c1cncc(Cl)n1,CC(=O)c1ccc(C)cc1,No group,c1ccccc1
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
COC(=O)Nc1cccc(C(F)(F)F)c1,CC(=O)c1ccc(C(C)(F)F)cc1,"NC,c1ccccc1",c1ccccc1
CON(C)C(=O)Nc1ccc(Br)cc1,CC(C)C(=O)N(cc1)cc1,"NC,c1ccccc1",No group
NC(=O)c1ccc(I)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)c1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)OCc1ccc(OC(=O)N(C)C)cc1,CC(C)C(=O)c1ccc(C(=O)N(C)C)cc1,"NC,c1ccccc1","NC,c1ccccc1"
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
O=C1CCC(=O)N1c1cccc(Cl)c1Cl,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,CC(C)C(=O)C(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
CN(C)C(=O)OCc1ccc(Cl)cc1,CC(C)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)Cc1cccc(Br)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)COc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)NNC(=O)Nc1cccc(Br)c1,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
CC(=O)Nc1ccc(cc1)N(=O)=O,CC(O)c1ccc(cc1)C(O)O,"NC,c1ccccc1",c1ccccc1
CC(=O)Oc1cccc(C(=O)O)c1,CC(O)c1ccc(C(O)N)cc1,c1ccccc1,"NC,c1ccccc1"
CON(C)C(=O)Nc1cccc(CO)c1,CC(C)C(=O)c1ccc(cc1)C,"NC,c1ccccc1",c1ccccc1
CN(C)C(=O)Oc1cccc(Cl)c1,CC(C)C(=O)N(cc1)cc1,"NC,c1ccccc1",No group
NC(=O)c1cccc(Cl)c1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)Cc1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CNC(=O)N(C)C(=O)Nc1cc(I)ccc1F,CC(=O)C(C)C(O)c1ccc(Cl)cc1,"NC,c1ccccc1",c1ccccc1
CNC(=O)c1ccc(cc1)C(=O)NO,CC(=O)c1ccc(cc1)C(=O)N,"NC,c1ccccc1","NC,c1ccccc1"
O=C(O)c1ccc(CCl)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CNC(=O)Oc1cccc(Br)c1,CC(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
O=C(O)c1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1cc(Cl)ccc1Cl,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
NC(=O)c1ccc(Cl)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)Cc1ccc(I)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)c1cc(Br)ccc1O,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)c1cccc(OCC(=O)O)c1,CC(O)c1ccc(C(=O)O)cc1,c1ccccc1,c1ccccc1
O=C(O)c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)N(C)c1ccc(O)cc1,CC(O)C(C)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C1CCC(=O)N1c1ccc(Br)cc1,CC=C(O)c1ccc(Cl)cc1,"NC,c1ccccc1","C=C,c1ccccc1"
O=C(O)Cc1cc(O)ccc1O,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)Nc1ccc(Br)cc1,CC(O)N(cc1)cc1,"NC,c1ccccc1",No group
NC(=O)c1ccc(Br)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)Cc1cccc(Cl)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
CC(=O)NNC(=O)Nc1cccc(I)c1,CC(O)C(=O)c1ccc(C)cc1,"NC,c1ccccc1",c1ccccc1
NC(=O)c1ccc(F)cc1,CC(=O)C(cc1)cc1,"NC,c1ccccc1",C=C
O=C(O)COc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
O=C(O)Cc1cccc(I)c1,CC=C(O)c1ccc(Cl)cc1,c1ccccc1,"C=C,c1ccccc1"
